Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
93,1596868878.714043,1596868878.796738,82.694769,-0.100218
94,1596868878.814281,1596868878.899011,84.730625,-0.100237
95,1596868878.914529,1596868878.997405,82.875967,-0.100248
96,1596868879.014722,1596868879.097479,82.756758,-0.100193
97,1596868879.114960,1596868879.197670,82.709312,-0.100238
98,1596868879.215166,1596868879.298173,83.007097,-0.100205
99,1596868879.315448,1596868879.398872,83.424091,-0.100282
100,1596868879.415663,1596868879.498411,82.748652,-0.100215
101,1596868879.515878,1596868879.598589,82.710743,-0.100215
102,1596868879.616098,1596868879.698778,82.679510,-0.100220
103,1596868879.716343,1596868879.799057,82.714319,-0.100245
104,1596868879.816540,1596868879.899233,82.693815,-0.100197
105,1596868879.916761,1596868879.999515,82.753658,-0.100221
106,1596868880.016963,1596868880.099706,82.742453,-0.100203
107,1596868880.117187,1596868880.200081,82.894087,-0.100223
108,1596868880.217404,1596868880.300156,82.752228,-0.100217
109,1596868880.317613,1596868880.400386,82.772732,-0.100210
110,1596868880.417832,1596868880.500597,82.764864,-0.100219
111,1596868880.518047,1596868880.600806,82.758427,-0.100215
112,1596868880.618256,1596868880.700961,82.705259,-0.100209
113,1596868880.718475,1596868880.801195,82.719803,-0.100219
114,1596868880.818690,1596868880.901395,82.705021,-0.100215
115,1596868880.918897,1596868881.001606,82.708836,-0.100207
116,1596868881.019105,1596868881.101877,82.772017,-0.100209
117,1596868881.119317,1596868881.202085,82.767725,-0.100211
118,1596868881.219565,1596868881.302276,82.710981,-0.100248
119,1596868881.319771,1596868881.402525,82.753897,-0.100206
120,1596868881.419945,1596868881.502641,82.695484,-0.100174
121,1596868881.520144,1596868881.602960,82.816124,-0.100199
122,1596868881.620343,1596868881.703080,82.736969,-0.100199
123,1596868881.720541,1596868881.803245,82.704306,-0.100198
124,1596868881.820736,1596868881.903452,82.715750,-0.100196
125,1596868881.920943,1596868882.003626,82.683802,-0.100206
126,1596868882.021146,1596868882.103846,82.700253,-0.100203
127,1596868882.121332,1596868882.204041,82.709789,-0.100186
128,1596868882.221539,1596868882.304250,82.710266,-0.100208
129,1596868882.321757,1596868882.406403,84.645748,-0.100218
130,1596868882.421949,1596868882.504637,82.687855,-0.100192
131,1596868882.522148,1596868882.604918,82.769632,-0.100199
132,1596868882.622369,1596868882.705106,82.737446,-0.100221
133,1596868882.722558,1596868882.805220,82.662582,-0.100189
134,1596868882.822783,1596868882.905563,82.779884,-0.100225
135,1596868882.922962,1596868883.005787,82.824707,-0.100179
136,1596868883.023200,1596868883.105936,82.736492,-0.100238
137,1596868883.123417,1596868883.206150,82.733631,-0.100217
138,1596868883.223657,1596868883.306359,82.701206,-0.100241
139,1596868883.323864,1596868883.406564,82.699537,-0.100207
140,1596868883.424109,1596868883.506786,82.676888,-0.100245
141,1596868883.524318,1596868883.606992,82.674742,-0.100209
142,1596868883.624564,1596868883.707248,82.683325,-0.100247
143,1596868883.724794,1596868883.807507,82.712650,-0.100230
144,1596868883.825038,1596868883.907717,82.678795,-0.100244
145,1596868883.925249,1596868884.007911,82.662106,-0.100212
146,1596868884.025453,1596868884.108130,82.677841,-0.100203
147,1596868884.125679,1596868884.208341,82.661867,-0.100227
148,1596868884.225902,1596868884.308615,82.712650,-0.100223
149,1596868884.326119,1596868884.408941,82.821608,-0.100217
150,1596868884.426328,1596868884.509405,83.076477,-0.100209
151,1596868884.526539,1596868884.609219,82.679749,-0.100210
152,1596868884.626735,1596868884.709435,82.699537,-0.100196
153,1596868884.726948,1596868884.809639,82.691193,-0.100213
154,1596868884.827188,1596868884.909886,82.698107,-0.100240
155,1596868884.927386,1596868885.010169,82.782984,-0.100197
156,1596868885.027634,1596868885.111266,83.632469,-0.100248
157,1596868885.127834,1596868885.210659,82.824945,-0.100200
158,1596868885.228051,1596868885.310866,82.814932,-0.100217
159,1596868885.328239,1596868885.412680,84.440231,-0.100188
160,1596868885.428478,1596868885.511212,82.734346,-0.100238
161,1596868885.528677,1596868885.611399,82.722425,-0.100199
162,1596868885.628901,1596868885.711627,82.725048,-0.100225
163,1596868885.729100,1596868885.812075,82.975626,-0.100198
164,1596868885.829324,1596868885.912342,83.018780,-0.100224
165,1596868885.929597,1596868886.012527,82.929850,-0.100274
166,1596868886.029807,1596868886.112554,82.746983,-0.100210
167,1596868886.130014,1596868886.212776,82.761288,-0.100207
168,1596868886.230211,1596868886.312882,82.671404,-0.100196
169,1596868886.330409,1596868886.413296,82.887411,-0.100198
170,1596868886.430719,1596868886.513903,83.184004,-0.100310
171,1596868886.531128,1596868886.614188,83.060026,-0.100410
172,1596868886.631386,1596868886.714489,83.103418,-0.100258
173,1596868886.731613,1596868886.814711,83.098173,-0.100227
174,1596868886.831861,1596868886.914954,83.093882,-0.100248
175,1596868886.932146,1596868887.015138,82.992554,-0.100285
176,1596868887.032345,1596868887.115341,82.995653,-0.100199
177,1596868887.132583,1596868887.215453,82.870245,-0.100238
178,1596868887.232832,1596868887.315788,82.956314,-0.100249
179,1596868887.333081,1596868887.416100,83.019257,-0.100249
180,1596868887.433345,1596868887.516193,82.848549,-0.100264
181,1596868887.533694,1596868887.616705,83.010912,-0.100350
182,1596868887.633954,1596868887.717073,83.118677,-0.100260
183,1596868887.734226,1596868887.817124,82.898140,-0.100271
184,1596868887.834455,1596868887.917416,82.960129,-0.100230
185,1596868887.934841,1596868888.017876,83.034992,-0.100385
186,1596868888.035374,1596868888.118421,83.046913,-0.100533
187,1596868888.135628,1596868888.218611,82.982779,-0.100254
188,1596868888.235901,1596868888.318803,82.902670,-0.100272
189,1596868888.336255,1596868888.420040,83.785057,-0.100354
190,1596868888.436543,1596868888.520249,83.705664,-0.100288
191,1596868888.536808,1596868888.619792,82.984209,-0.100265
192,1596868888.637144,1596868888.720149,83.004951,-0.100336
193,1596868888.737381,1596868888.820544,83.162308,-0.100237
194,1596868888.837592,1596868888.920580,82.987547,-0.100211
195,1596868888.937803,1596868889.020837,83.034039,-0.100210
196,1596868889.038138,1596868889.121003,82.864523,-0.100336
197,1596868889.138657,1596868889.221936,83.278894,-0.100519
198,1596868889.238812,1596868889.321837,83.025217,-0.100155
199,1596868889.339075,1596868889.422132,83.057880,-0.100262
200,1596868889.439331,1596868889.522352,83.021402,-0.100256
201,1596868889.539631,1596868889.622708,83.076954,-0.100300
202,1596868889.639929,1596868889.722846,82.917452,-0.100297
203,1596868889.740198,1596868889.823085,82.886934,-0.100269
204,1596868889.840460,1596868889.923474,83.014250,-0.100262
205,1596868889.940699,1596868890.023508,82.809210,-0.100239
206,1596868890.040901,1596868890.124004,83.103180,-0.100202
207,1596868890.141127,1596868890.224165,83.038330,-0.100226
208,1596868890.241359,1596868890.324252,82.892656,-0.100232
209,1596868890.341646,1596868890.424562,82.916260,-0.100286
210,1596868890.441897,1596868890.524783,82.886696,-0.100251
211,1596868890.542242,1596868890.625183,82.941294,-0.100345
212,1596868890.642539,1596868890.725379,82.840681,-0.100296
213,1596868890.742781,1596868890.825519,82.737923,-0.100243
214,1596868890.843284,1596868890.926426,83.142042,-0.100502
215,1596868890.943532,1596868891.026522,82.989931,-0.100249
216,1596868891.043696,1596868891.126445,82.748890,-0.100163
217,1596868891.143923,1596868891.226626,82.703352,-0.100227
218,1596868891.244139,1596868891.326856,82.716465,-0.100216
219,1596868891.344330,1596868891.427161,82.830906,-0.100191
220,1596868891.444586,1596868891.528425,83.839178,-0.100256
221,1596868891.544783,1596868891.627504,82.720995,-0.100197
222,1596868891.645023,1596868891.727769,82.745790,-0.100240
223,1596868891.745236,1596868891.827987,82.751036,-0.100212
224,1596868891.845455,1596868891.928260,82.804441,-0.100219
225,1596868891.945661,1596868892.028479,82.818031,-0.100206
226,1596868892.045906,1596868892.128666,82.760096,-0.100244
227,1596868892.146108,1596868892.228824,82.715511,-0.100203
228,1596868892.246312,1596868892.329278,82.965374,-0.100204
229,1596868892.346546,1596868892.429626,83.080292,-0.100233
230,1596868892.446825,1596868892.529800,82.974434,-0.100280
231,1596868892.547045,1596868892.630134,83.089590,-0.100219
