Sequencer Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596868869.487897,1596868869.487997,0.099659,-0.100190
2,1596868869.588206,1596868869.588372,0.165701,-0.100309
3,1596868869.688602,1596868869.688752,0.149965,-0.100396
4,1596868869.788899,1596868869.789006,0.106812,-0.100297
5,1596868869.889141,1596868869.889258,0.117064,-0.100242
6,1596868869.989474,1596868869.989584,0.109434,-0.100334
7,1596868870.089695,1596868870.089807,0.111818,-0.100221
8,1596868870.189913,1596868870.190000,0.087261,-0.100217
9,1596868870.290113,1596868870.290211,0.098467,-0.100200
10,1596868870.390438,1596868870.390614,0.175238,-0.100326
11,1596868870.490901,1596868870.491104,0.203371,-0.100462
12,1596868870.591344,1596868870.591509,0.164986,-0.100444
13,1596868870.691742,1596868870.691920,0.177622,-0.100398
14,1596868870.792147,1596868870.792307,0.160456,-0.100405
15,1596868870.892461,1596868870.892572,0.110865,-0.100314
16,1596868870.992712,1596868870.992810,0.098705,-0.100250
17,1596868871.092923,1596868871.093021,0.097990,-0.100212
18,1596868871.193223,1596868871.193361,0.137806,-0.100300
19,1596868871.293492,1596868871.293581,0.089645,-0.100269
20,1596868871.393723,1596868871.393827,0.103712,-0.100232
21,1596868871.494018,1596868871.494190,0.171661,-0.100295
22,1596868871.594391,1596868871.594511,0.119925,-0.100374
23,1596868871.694724,1596868871.694855,0.131130,-0.100332
24,1596868871.794991,1596868871.795091,0.100613,-0.100267
25,1596868871.895344,1596868871.895507,0.163317,-0.100353
26,1596868871.995685,1596868871.995800,0.115156,-0.100341
27,1596868872.095962,1596868872.096100,0.138044,-0.100277
28,1596868872.196367,1596868872.196542,0.174999,-0.100405
29,1596868872.296704,1596868872.296861,0.156403,-0.100338
30,1596868872.397017,1596868872.397129,0.111818,-0.100313
31,1596868872.497368,1596868872.497512,0.143528,-0.100351
32,1596868872.597746,1596868872.597838,0.092268,-0.100377
33,1596868872.697970,1596868872.698067,0.097036,-0.100224
34,1596868872.798282,1596868872.798433,0.150442,-0.100312
35,1596868872.898566,1596868872.898673,0.107050,-0.100284
36,1596868872.998822,1596868872.998912,0.089884,-0.100256
37,1596868873.099042,1596868873.099141,0.098467,-0.100220
38,1596868873.199394,1596868873.199556,0.162125,-0.100352
39,1596868873.299710,1596868873.299826,0.116110,-0.100316
40,1596868873.399928,1596868873.400011,0.082731,-0.100218
41,1596868873.500208,1596868873.500367,0.159025,-0.100280
42,1596868873.600498,1596868873.600610,0.111580,-0.100290
43,1596868873.700747,1596868873.700857,0.110388,-0.100249
44,1596868873.800984,1596868873.801082,0.098705,-0.100237
45,1596868873.901225,1596868873.901331,0.106096,-0.100241
46,1596868874.001488,1596868874.001611,0.123262,-0.100263
47,1596868874.101757,1596868874.101859,0.101805,-0.100269
