Frame Capture Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
103,1596868879.716247,1596868879.716373,0.126600,-0.100231
104,1596868879.816455,1596868879.816573,0.118256,-0.100208
105,1596868879.916676,1596868879.916798,0.122309,-0.100221
106,1596868880.016883,1596868880.016998,0.115156,-0.100207
107,1596868880.117102,1596868880.117220,0.117540,-0.100219
108,1596868880.217321,1596868880.217436,0.115633,-0.100218
109,1596868880.317531,1596868880.317649,0.118017,-0.100210
110,1596868880.417749,1596868880.417865,0.116110,-0.100218
111,1596868880.517958,1596868880.518081,0.123501,-0.100209
112,1596868880.618175,1596868880.618292,0.117302,-0.100217
113,1596868880.718390,1596868880.718510,0.120401,-0.100215
114,1596868880.818605,1596868880.818726,0.120640,-0.100215
115,1596868880.918813,1596868880.918931,0.118017,-0.100208
116,1596868881.019026,1596868881.019141,0.114918,-0.100213
117,1596868881.119235,1596868881.119388,0.152826,-0.100209
118,1596868881.219481,1596868881.219597,0.115871,-0.100246
119,1596868881.319679,1596868881.319803,0.124693,-0.100197
120,1596868881.419870,1596868881.419978,0.107288,-0.100192
121,1596868881.520062,1596868881.520177,0.115633,-0.100191
122,1596868881.620262,1596868881.620377,0.115156,-0.100200
123,1596868881.720455,1596868881.720576,0.120878,-0.100193
124,1596868881.820653,1596868881.820769,0.115633,-0.100198
125,1596868881.920860,1596868881.920974,0.113249,-0.100207
126,1596868882.021060,1596868882.021179,0.119686,-0.100199
127,1596868882.121251,1596868882.121363,0.112534,-0.100191
128,1596868882.221450,1596868882.221571,0.121593,-0.100199
129,1596868882.321672,1596868882.321790,0.118017,-0.100223
130,1596868882.421867,1596868882.421985,0.118494,-0.100194
131,1596868882.522067,1596868882.522182,0.115633,-0.100200
132,1596868882.622267,1596868882.622402,0.134706,-0.100200
133,1596868882.722467,1596868882.722590,0.122547,-0.100200
134,1596868882.822684,1596868882.822819,0.134230,-0.100217
135,1596868882.922877,1596868882.922998,0.120401,-0.100193
136,1596868883.023108,1596868883.023231,0.123024,-0.100231
137,1596868883.123321,1596868883.123454,0.132799,-0.100213
138,1596868883.223558,1596868883.223692,0.134230,-0.100237
139,1596868883.323780,1596868883.323897,0.116825,-0.100222
140,1596868883.424021,1596868883.424144,0.122070,-0.100242
141,1596868883.524238,1596868883.524353,0.114918,-0.100216
142,1596868883.624471,1596868883.624600,0.129223,-0.100234
143,1596868883.724708,1596868883.724826,0.118494,-0.100237
144,1596868883.824942,1596868883.825071,0.129461,-0.100234
145,1596868883.925167,1596868883.925284,0.117302,-0.100225
146,1596868884.025373,1596868884.025487,0.113726,-0.100207
147,1596868884.125596,1596868884.125712,0.115633,-0.100223
148,1596868884.225819,1596868884.225938,0.118494,-0.100223
149,1596868884.326044,1596868884.326152,0.107765,-0.100225
150,1596868884.426234,1596868884.426362,0.127792,-0.100190
151,1596868884.526456,1596868884.526571,0.115633,-0.100222
152,1596868884.626659,1596868884.626771,0.112295,-0.100204
153,1596868884.726870,1596868884.726982,0.112295,-0.100211
154,1596868884.827085,1596868884.827226,0.141144,-0.100215
155,1596868884.927304,1596868884.927420,0.115871,-0.100219
156,1596868885.027538,1596868885.027672,0.134706,-0.100234
157,1596868885.127753,1596868885.127866,0.113487,-0.100215
158,1596868885.227962,1596868885.228088,0.125885,-0.100209
159,1596868885.328156,1596868885.328273,0.117540,-0.100194
160,1596868885.428389,1596868885.428512,0.122786,-0.100233
161,1596868885.528589,1596868885.528713,0.123262,-0.100200
162,1596868885.628812,1596868885.628942,0.129461,-0.100223
163,1596868885.729012,1596868885.729136,0.123739,-0.100200
164,1596868885.829243,1596868885.829378,0.134945,-0.100231
165,1596868885.929513,1596868885.929631,0.117540,-0.100270
166,1596868886.029725,1596868886.029838,0.113487,-0.100211
167,1596868886.129927,1596868886.130048,0.120640,-0.100202
168,1596868886.230131,1596868886.230243,0.112057,-0.100204
169,1596868886.330323,1596868886.330441,0.118017,-0.100193
170,1596868886.430594,1596868886.430753,0.159502,-0.100271
171,1596868886.531012,1596868886.531165,0.153542,-0.100418
172,1596868886.631263,1596868886.631423,0.159740,-0.100251
173,1596868886.731503,1596868886.731649,0.145912,-0.100240
174,1596868886.831754,1596868886.831899,0.145197,-0.100251
175,1596868886.932010,1596868886.932176,0.166655,-0.100256
176,1596868887.032258,1596868887.032383,0.124454,-0.100249
177,1596868887.132492,1596868887.132616,0.124454,-0.100234
178,1596868887.232726,1596868887.232874,0.148296,-0.100234
179,1596868887.332984,1596868887.333116,0.131845,-0.100258
180,1596868887.433248,1596868887.433379,0.131845,-0.100264
181,1596868887.533574,1596868887.533726,0.152349,-0.100326
182,1596868887.633847,1596868887.633994,0.146627,-0.100274
183,1596868887.734124,1596868887.734262,0.137568,-0.100277
184,1596868887.834362,1596868887.834495,0.132322,-0.100238
185,1596868887.934723,1596868887.934879,0.155449,-0.100361
186,1596868888.035246,1596868888.035414,0.168085,-0.100523
187,1596868888.135529,1596868888.135659,0.130892,-0.100282
188,1596868888.235794,1596868888.235934,0.139713,-0.100266
189,1596868888.336135,1596868888.336291,0.155449,-0.100341
190,1596868888.436431,1596868888.436578,0.146151,-0.100296
191,1596868888.536705,1596868888.536839,0.134945,-0.100273
192,1596868888.637020,1596868888.637179,0.159025,-0.100316
193,1596868888.737267,1596868888.737420,0.152588,-0.100247
194,1596868888.837488,1596868888.837628,0.139952,-0.100221
195,1596868888.937713,1596868888.937836,0.123501,-0.100224
196,1596868889.038045,1596868889.038175,0.129461,-0.100332
197,1596868889.138498,1596868889.138695,0.196457,-0.100453
198,1596868889.238717,1596868889.238850,0.133276,-0.100218
199,1596868889.338978,1596868889.339113,0.135660,-0.100261
200,1596868889.439237,1596868889.439394,0.157356,-0.100259
201,1596868889.539524,1596868889.539664,0.139713,-0.100287
202,1596868889.639821,1596868889.639956,0.135899,-0.100297
203,1596868889.740093,1596868889.740233,0.140190,-0.100272
204,1596868889.840357,1596868889.840496,0.139475,-0.100264
205,1596868889.940609,1596868889.940738,0.129938,-0.100252
206,1596868890.040815,1596868890.040935,0.120163,-0.100206
207,1596868890.141040,1596868890.141160,0.120163,-0.100225
208,1596868890.241275,1596868890.241394,0.119686,-0.100235
209,1596868890.341542,1596868890.341681,0.138283,-0.100268
210,1596868890.441798,1596868890.441928,0.130177,-0.100255
211,1596868890.542121,1596868890.542278,0.157118,-0.100323
212,1596868890.642427,1596868890.642570,0.143051,-0.100307
213,1596868890.742687,1596868890.742818,0.130892,-0.100260
214,1596868890.843141,1596868890.843317,0.175714,-0.100454
215,1596868890.943403,1596868890.943566,0.163794,-0.100261
216,1596868891.043603,1596868891.043727,0.124454,-0.100200
217,1596868891.143830,1596868891.143954,0.124693,-0.100227
218,1596868891.244045,1596868891.244178,0.133276,-0.100215
219,1596868891.344240,1596868891.344361,0.120878,-0.100195
220,1596868891.444489,1596868891.444623,0.133753,-0.100249
221,1596868891.544699,1596868891.544819,0.120163,-0.100210
222,1596868891.644921,1596868891.645061,0.139236,-0.100223
223,1596868891.745139,1596868891.745276,0.137568,-0.100218
224,1596868891.845352,1596868891.845494,0.142336,-0.100213
225,1596868891.945560,1596868891.945699,0.138998,-0.100208
226,1596868892.045804,1596868892.045938,0.134468,-0.100244
227,1596868892.146013,1596868892.146147,0.133991,-0.100209
228,1596868892.246218,1596868892.246353,0.134945,-0.100206
229,1596868892.346449,1596868892.346579,0.129700,-0.100230
230,1596868892.446713,1596868892.446857,0.144482,-0.100264
231,1596868892.546942,1596868892.547083,0.141382,-0.100229
232,1596868892.647194,1596868892.647335,0.140190,-0.100253
233,1596868892.747549,1596868892.747694,0.145674,-0.100354
234,1596868892.847779,1596868892.847927,0.148296,-0.100230
235,1596868892.948042,1596868892.948176,0.134230,-0.100263
236,1596868893.048278,1596868893.048410,0.131845,-0.100236
237,1596868893.148618,1596868893.148776,0.157833,-0.100339
238,1596868893.248991,1596868893.249165,0.173807,-0.100374
239,1596868893.349220,1596868893.349379,0.159025,-0.100229
240,1596868893.449591,1596868893.449729,0.138044,-0.100371
241,1596868893.549904,1596868893.550043,0.139475,-0.100313
242,1596868893.650141,1596868893.650264,0.123262,-0.100237
243,1596868893.750399,1596868893.750540,0.140667,-0.100258
244,1596868893.850627,1596868893.850761,0.133991,-0.100228
245,1596868893.950900,1596868893.951042,0.141382,-0.100274
246,1596868894.051163,1596868894.051304,0.140429,-0.100263
247,1596868894.151491,1596868894.151633,0.141144,-0.100328
248,1596868894.251740,1596868894.251863,0.122786,-0.100249
249,1596868894.351982,1596868894.352120,0.138283,-0.100242
250,1596868894.452287,1596868894.452430,0.142813,-0.100306
251,1596868894.552606,1596868894.552765,0.159502,-0.100319
252,1596868894.652926,1596868894.653082,0.155687,-0.100320
253,1596868894.753175,1596868894.753305,0.130892,-0.100248
254,1596868894.853383,1596868894.853501,0.118017,-0.100208
255,1596868894.953592,1596868894.953719,0.127077,-0.100209
256,1596868895.053788,1596868895.053904,0.116587,-0.100196
257,1596868895.153982,1596868895.154104,0.122786,-0.100194
258,1596868895.254209,1596868895.254326,0.117064,-0.100227
259,1596868895.354412,1596868895.354543,0.130415,-0.100204
260,1596868895.454632,1596868895.454747,0.115156,-0.100219
261,1596868895.554855,1596868895.554980,0.124931,-0.100224
262,1596868895.655077,1596868895.655190,0.113726,-0.100221
263,1596868895.755290,1596868895.755409,0.119925,-0.100213
264,1596868895.855510,1596868895.855629,0.118971,-0.100220
265,1596868895.955726,1596868895.955853,0.127316,-0.100216
266,1596868896.055936,1596868896.056052,0.115871,-0.100210
267,1596868896.156130,1596868896.156246,0.116348,-0.100194
268,1596868896.256358,1596868896.256471,0.113249,-0.100228
269,1596868896.356598,1596868896.356729,0.131130,-0.100240
270,1596868896.456817,1596868896.456938,0.120163,-0.100219
271,1596868896.557032,1596868896.557173,0.140905,-0.100215
272,1596868896.657265,1596868896.657395,0.129223,-0.100233
273,1596868896.757552,1596868896.757690,0.138283,-0.100286
274,1596868896.857848,1596868896.857982,0.133991,-0.100297
275,1596868896.958249,1596868896.958419,0.170469,-0.100400
276,1596868897.058494,1596868897.058628,0.133991,-0.100245
277,1596868897.158726,1596868897.158850,0.123501,-0.100232
278,1596868897.258894,1596868897.259007,0.112295,-0.100168
279,1596868897.359087,1596868897.359208,0.120401,-0.100193
280,1596868897.459263,1596868897.459382,0.118732,-0.100175
281,1596868897.559494,1596868897.559609,0.114918,-0.100231
282,1596868897.659688,1596868897.659797,0.108480,-0.100194
283,1596868897.759891,1596868897.760008,0.117540,-0.100202
284,1596868897.860066,1596868897.860175,0.109196,-0.100175
285,1596868897.960270,1596868897.960398,0.128031,-0.100204
286,1596868898.060461,1596868898.060576,0.114679,-0.100191
287,1596868898.160687,1596868898.160806,0.118971,-0.100226
288,1596868898.260886,1596868898.261001,0.114918,-0.100199
289,1596868898.361141,1596868898.361262,0.121117,-0.100255
290,1596868898.461349,1596868898.461466,0.117064,-0.100207
291,1596868898.561561,1596868898.561678,0.117302,-0.100213
292,1596868898.661778,1596868898.661900,0.121593,-0.100217
293,1596868898.761989,1596868898.762116,0.127554,-0.100210
294,1596868898.862213,1596868898.862336,0.123501,-0.100224
295,1596868898.962431,1596868898.962554,0.123739,-0.100218
296,1596868899.062653,1596868899.062777,0.123978,-0.100222
297,1596868899.162876,1596868899.162999,0.123501,-0.100223
298,1596868899.263087,1596868899.263204,0.117540,-0.100211
299,1596868899.363302,1596868899.363425,0.123501,-0.100215
300,1596868899.463530,1596868899.463663,0.133276,-0.100228
301,1596868899.563736,1596868899.563863,0.126839,-0.100207
302,1596868899.663962,1596868899.664084,0.122070,-0.100226
303,1596868899.764200,1596868899.764331,0.130892,-0.100238
304,1596868899.864416,1596868899.864536,0.120401,-0.100216
305,1596868899.964657,1596868899.964795,0.137806,-0.100241
306,1596868900.064883,1596868900.065011,0.128031,-0.100226
307,1596868900.165108,1596868900.165235,0.126839,-0.100225
308,1596868900.265329,1596868900.265450,0.121117,-0.100221
309,1596868900.365549,1596868900.365673,0.123978,-0.100219
310,1596868900.465774,1596868900.465904,0.129938,-0.100225
311,1596868900.566054,1596868900.566170,0.116825,-0.100280
312,1596868900.666295,1596868900.666423,0.127316,-0.100242
313,1596868900.766510,1596868900.766636,0.126362,-0.100214
314,1596868900.866730,1596868900.866855,0.125647,-0.100220
315,1596868900.966960,1596868900.967080,0.120401,-0.100230
316,1596868901.067190,1596868901.067310,0.119686,-0.100230
317,1596868901.167409,1596868901.167534,0.124931,-0.100219
318,1596868901.267614,1596868901.267731,0.117302,-0.100205
319,1596868901.367846,1596868901.367969,0.122309,-0.100233
320,1596868901.468072,1596868901.468203,0.130415,-0.100226
321,1596868901.568292,1596868901.568408,0.115871,-0.100219
322,1596868901.668535,1596868901.668672,0.137329,-0.100243
323,1596868901.768750,1596868901.768870,0.119448,-0.100215
324,1596868901.868991,1596868901.869118,0.127077,-0.100241
325,1596868901.969216,1596868901.969335,0.119209,-0.100225
326,1596868902.069501,1596868902.069623,0.122547,-0.100285
327,1596868902.169716,1596868902.169829,0.113010,-0.100215
328,1596868902.269936,1596868902.270060,0.123978,-0.100220
329,1596868902.370154,1596868902.370266,0.111818,-0.100218
330,1596868902.470374,1596868902.470498,0.123739,-0.100219
331,1596868902.570576,1596868902.570691,0.114441,-0.100203
332,1596868902.670786,1596868902.670903,0.117064,-0.100210
333,1596868902.770984,1596868902.771101,0.116587,-0.100198
334,1596868902.871179,1596868902.871296,0.117064,-0.100195
335,1596868902.971384,1596868902.971500,0.116110,-0.100205
336,1596868903.071575,1596868903.071700,0.124931,-0.100191
337,1596868903.171767,1596868903.171888,0.120401,-0.100192
338,1596868903.271976,1596868903.272125,0.149250,-0.100208
339,1596868903.372190,1596868903.372310,0.119925,-0.100214
340,1596868903.472424,1596868903.472579,0.155926,-0.100234
341,1596868903.572669,1596868903.572816,0.147581,-0.100245
342,1596868903.672882,1596868903.673009,0.127077,-0.100214
343,1596868903.773312,1596868903.773498,0.186443,-0.100429
344,1596868903.873520,1596868903.873637,0.116825,-0.100209
345,1596868903.973736,1596868903.973855,0.119686,-0.100215
346,1596868904.073985,1596868904.074116,0.131130,-0.100250
347,1596868904.174206,1596868904.174327,0.121117,-0.100220
348,1596868904.274446,1596868904.274565,0.119686,-0.100240
349,1596868904.374671,1596868904.374799,0.128746,-0.100225
350,1596868904.474892,1596868904.475021,0.129223,-0.100222
351,1596868904.575120,1596868904.575249,0.129223,-0.100228
352,1596868904.675358,1596868904.675489,0.131130,-0.100238
353,1596868904.775582,1596868904.775712,0.130415,-0.100224
354,1596868904.875825,1596868904.875975,0.150204,-0.100243
355,1596868904.976034,1596868904.976165,0.130415,-0.100210
356,1596868905.076274,1596868905.076405,0.130892,-0.100240
357,1596868905.176483,1596868905.176616,0.132799,-0.100209
358,1596868905.276693,1596868905.276807,0.113487,-0.100210
359,1596868905.376900,1596868905.377020,0.120163,-0.100207
360,1596868905.477130,1596868905.477265,0.134468,-0.100230
361,1596868905.577326,1596868905.577437,0.110388,-0.100196
362,1596868905.677539,1596868905.677662,0.123501,-0.100212
363,1596868905.777768,1596868905.777901,0.133514,-0.100229
364,1596868905.878002,1596868905.878142,0.139952,-0.100235
365,1596868905.978209,1596868905.978346,0.136375,-0.100207
366,1596868906.078427,1596868906.078557,0.129938,-0.100218
367,1596868906.178642,1596868906.178780,0.137806,-0.100215
368,1596868906.278867,1596868906.279004,0.137329,-0.100225
369,1596868906.379091,1596868906.379222,0.130892,-0.100224
370,1596868906.479326,1596868906.479519,0.193357,-0.100235
371,1596868906.579631,1596868906.579776,0.144720,-0.100305
372,1596868906.679847,1596868906.679988,0.141859,-0.100215
373,1596868906.780053,1596868906.780187,0.133991,-0.100207
374,1596868906.880252,1596868906.880387,0.134945,-0.100199
375,1596868906.980475,1596868906.980621,0.145197,-0.100224
376,1596868907.080662,1596868907.080789,0.127316,-0.100186
377,1596868907.180932,1596868907.181084,0.151873,-0.100271
378,1596868907.281133,1596868907.281266,0.132799,-0.100201
379,1596868907.381384,1596868907.381507,0.122786,-0.100251
380,1596868907.481583,1596868907.481701,0.118732,-0.100199
381,1596868907.581802,1596868907.581927,0.125408,-0.100219
382,1596868907.682020,1596868907.682150,0.129938,-0.100218
383,1596868907.782280,1596868907.782394,0.114202,-0.100260
384,1596868907.882492,1596868907.882611,0.118971,-0.100212
385,1596868907.982716,1596868907.982840,0.123978,-0.100224
386,1596868908.082919,1596868908.083045,0.126839,-0.100203
387,1596868908.183157,1596868908.183296,0.138760,-0.100238
388,1596868908.283378,1596868908.283520,0.142574,-0.100221
389,1596868908.383586,1596868908.383726,0.139475,-0.100208
390,1596868908.483792,1596868908.483924,0.132561,-0.100205
391,1596868908.584006,1596868908.584144,0.138283,-0.100214
392,1596868908.684226,1596868908.684362,0.135660,-0.100220
393,1596868908.784447,1596868908.784571,0.123501,-0.100221
394,1596868908.884657,1596868908.884797,0.139236,-0.100210
395,1596868908.984880,1596868908.985013,0.133276,-0.100222
396,1596868909.085075,1596868909.085206,0.130415,-0.100196
397,1596868909.185325,1596868909.185476,0.150919,-0.100250
398,1596868909.285546,1596868909.285677,0.131845,-0.100220
399,1596868909.385794,1596868909.385939,0.145197,-0.100248
400,1596868909.486029,1596868909.486173,0.144005,-0.100235
401,1596868909.586269,1596868909.586414,0.144958,-0.100240
402,1596868909.686488,1596868909.686609,0.120401,-0.100219
403,1596868909.786728,1596868909.786850,0.121593,-0.100240
404,1596868909.886964,1596868909.887105,0.141859,-0.100235
405,1596868909.987195,1596868909.987339,0.144005,-0.100231
406,1596868910.087417,1596868910.087547,0.130177,-0.100223
407,1596868910.187642,1596868910.187766,0.123739,-0.100225
408,1596868910.287875,1596868910.288005,0.129700,-0.100233
409,1596868910.388110,1596868910.388243,0.133038,-0.100235
410,1596868910.488343,1596868910.488478,0.135422,-0.100233
411,1596868910.588582,1596868910.588711,0.129223,-0.100239
412,1596868910.688824,1596868910.688962,0.137329,-0.100243
413,1596868910.789048,1596868910.789178,0.130415,-0.100223
414,1596868910.889280,1596868910.889450,0.169277,-0.100233
415,1596868910.989519,1596868910.989648,0.128984,-0.100239
416,1596868911.089740,1596868911.089869,0.129461,-0.100221
417,1596868911.189955,1596868911.190081,0.126600,-0.100215
418,1596868911.290181,1596868911.290313,0.132561,-0.100226
419,1596868911.390394,1596868911.390516,0.121832,-0.100213
420,1596868911.490621,1596868911.490753,0.132561,-0.100227
421,1596868911.590830,1596868911.590955,0.125647,-0.100209
422,1596868911.691074,1596868911.691211,0.137568,-0.100244
423,1596868911.791286,1596868911.791416,0.130177,-0.100212
424,1596868911.891504,1596868911.891635,0.131369,-0.100218
425,1596868911.991711,1596868911.991838,0.126839,-0.100207
426,1596868912.091930,1596868912.092054,0.123262,-0.100219
427,1596868912.192149,1596868912.192271,0.121832,-0.100218
428,1596868912.292380,1596868912.292513,0.132561,-0.100231
429,1596868912.392758,1596868912.392971,0.212908,-0.100378
430,1596868912.492966,1596868912.493103,0.136614,-0.100209
431,1596868912.593311,1596868912.593463,0.152111,-0.100344
432,1596868912.693608,1596868912.693771,0.163555,-0.100297
433,1596868912.793729,1596868912.793833,0.103951,-0.100121
434,1596868912.893900,1596868912.894016,0.115871,-0.100171
435,1596868912.994027,1596868912.994137,0.109911,-0.100127
436,1596868913.094191,1596868913.094304,0.112772,-0.100164
437,1596868913.194310,1596868913.194419,0.108957,-0.100119
438,1596868913.294475,1596868913.294593,0.118256,-0.100165
439,1596868913.394594,1596868913.394704,0.110149,-0.100119
