Frame Capture Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596869410.116105,1596869410.116263,0.158310,-0.000278
2,1596869411.116376,1596869411.116536,0.159264,-0.000272
3,1596869412.116626,1596869412.116782,0.156164,-0.000250
4,1596869413.116965,1596869413.117146,0.181198,-0.000339
5,1596869414.117227,1596869414.117380,0.153542,-0.000262
6,1596869415.117481,1596869415.117637,0.155687,-0.000254
7,1596869416.117841,1596869416.118017,0.176430,-0.000360
8,1596869417.118119,1596869417.118279,0.159740,-0.000278
9,1596869418.118393,1596869418.118549,0.156164,-0.000274
10,1596869419.118710,1596869419.118884,0.174284,-0.000317
11,1596869420.118993,1596869420.119150,0.157118,-0.000283
12,1596869421.119267,1596869421.119480,0.212669,-0.000274
13,1596869422.119571,1596869422.119721,0.150442,-0.000304
14,1596869423.119858,1596869423.120015,0.156641,-0.000288
15,1596869424.120127,1596869424.120282,0.155210,-0.000269
16,1596869425.120387,1596869425.120540,0.153065,-0.000260
17,1596869426.120665,1596869426.120830,0.164986,-0.000278
18,1596869427.120909,1596869427.121062,0.152588,-0.000245
19,1596869428.121151,1596869428.121313,0.161648,-0.000242
20,1596869429.121424,1596869429.121582,0.158310,-0.000273
21,1596869430.121671,1596869430.121822,0.150681,-0.000247
22,1596869431.121913,1596869431.122068,0.154257,-0.000242
23,1596869432.122195,1596869432.122356,0.161409,-0.000282
24,1596869433.122461,1596869433.122618,0.157118,-0.000266
25,1596869434.122718,1596869434.122873,0.155449,-0.000257
26,1596869435.122998,1596869435.123162,0.163794,-0.000281
27,1596869436.123265,1596869436.123422,0.157356,-0.000266
28,1596869437.123517,1596869437.123672,0.154734,-0.000252
29,1596869438.123796,1596869438.123960,0.163078,-0.000279
30,1596869439.124064,1596869439.124219,0.154972,-0.000268
31,1596869440.124328,1596869440.124486,0.157833,-0.000264
32,1596869441.124609,1596869441.124771,0.162125,-0.000281
33,1596869442.124861,1596869442.125010,0.149488,-0.000252
34,1596869443.125116,1596869443.125271,0.154972,-0.000255
35,1596869444.125457,1596869444.125649,0.192165,-0.000341
36,1596869445.125717,1596869445.125872,0.154734,-0.000261
37,1596869446.125971,1596869446.126126,0.154734,-0.000254
38,1596869447.126308,1596869447.126479,0.170231,-0.000338
39,1596869448.126575,1596869448.126736,0.160933,-0.000267
40,1596869449.126828,1596869449.126987,0.159025,-0.000253
41,1596869450.127109,1596869450.127268,0.159264,-0.000281
42,1596869451.127365,1596869451.127520,0.155449,-0.000256
43,1596869452.127638,1596869452.127798,0.159740,-0.000273
44,1596869453.127907,1596869453.128067,0.160217,-0.000269
45,1596869454.128185,1596869454.128343,0.157595,-0.000278
46,1596869455.128443,1596869455.128597,0.154495,-0.000257
47,1596869456.128743,1596869456.128901,0.158310,-0.000300
48,1596869457.129010,1596869457.129169,0.159264,-0.000267
49,1596869458.129269,1596869458.129488,0.219107,-0.000260
50,1596869459.129599,1596869459.129754,0.155449,-0.000329
51,1596869460.129854,1596869460.130008,0.153780,-0.000255
52,1596869461.130125,1596869461.130282,0.156879,-0.000272
53,1596869462.130464,1596869462.130643,0.179052,-0.000339
54,1596869463.130741,1596869463.130904,0.162840,-0.000278
55,1596869464.131000,1596869464.131157,0.156879,-0.000258
56,1596869465.131271,1596869465.131429,0.157833,-0.000272
57,1596869466.131538,1596869466.131697,0.158548,-0.000267
58,1596869467.131780,1596869467.131931,0.150442,-0.000242
59,1596869468.132058,1596869468.132214,0.155926,-0.000278
60,1596869469.132319,1596869469.132473,0.153303,-0.000261
61,1596869470.132562,1596869470.132714,0.152349,-0.000243
62,1596869471.132834,1596869471.132994,0.159979,-0.000272
63,1596869472.133079,1596869472.133235,0.155687,-0.000245
64,1596869473.133328,1596869473.133486,0.157356,-0.000249
65,1596869474.133619,1596869474.133777,0.157595,-0.000291
66,1596869475.133899,1596869475.134057,0.158548,-0.000280
67,1596869476.134142,1596869476.134296,0.154734,-0.000243
68,1596869477.134413,1596869477.134573,0.159979,-0.000272
69,1596869478.134653,1596869478.134814,0.160217,-0.000240
70,1596869479.134920,1596869479.135080,0.160217,-0.000267
71,1596869480.135188,1596869480.135342,0.154495,-0.000268
72,1596869481.135450,1596869481.135605,0.155687,-0.000262
73,1596869482.135686,1596869482.135837,0.151157,-0.000236
74,1596869483.135960,1596869483.136114,0.154018,-0.000274
