Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596869410.116230,1596869410.271042,154.812574,-0.000281
2,1596869411.116505,1596869411.228495,111.990690,-0.000275
3,1596869412.116747,1596869412.236515,119.767666,-0.000243
4,1596869413.117111,1596869413.251616,134.505033,-0.000363
5,1596869414.117349,1596869414.259036,141.686916,-0.000238
6,1596869415.117602,1596869415.228091,110.489607,-0.000253
7,1596869416.117984,1596869416.242887,124.903679,-0.000382
8,1596869417.118247,1596869417.252142,133.895397,-0.000263
9,1596869418.118516,1596869418.267198,148.682117,-0.000269
10,1596869419.118852,1596869419.279138,160.285473,-0.000337
11,1596869420.119117,1596869420.237693,118.575811,-0.000265
12,1596869421.119452,1596869421.249692,130.239964,-0.000335
13,1596869422.119691,1596869422.269734,150.042772,-0.000239
14,1596869423.119982,1596869423.277797,157.815456,-0.000291
15,1596869424.120250,1596869424.239694,119.443178,-0.000268
16,1596869425.120507,1596869425.262074,141.566515,-0.000257
17,1596869426.120796,1596869426.264802,144.005299,-0.000289
18,1596869427.121029,1596869427.269936,148.907423,-0.000232
19,1596869428.121279,1596869428.281645,160.366535,-0.000250
20,1596869429.121551,1596869429.254706,133.155823,-0.000272
21,1596869430.121786,1596869430.265345,143.559217,-0.000236
22,1596869431.122034,1596869431.276687,154.652596,-0.000248
23,1596869432.122325,1596869432.280605,158.279181,-0.000291
24,1596869433.122585,1596869433.240963,118.378401,-0.000260
25,1596869434.122839,1596869434.254539,131.700039,-0.000254
26,1596869435.123130,1596869435.271049,147.918940,-0.000291
27,1596869436.123389,1596869436.236380,112.990856,-0.000259
28,1596869437.123641,1596869437.258454,134.812355,-0.000252
29,1596869438.123926,1596869438.266490,142.563343,-0.000285
30,1596869439.124186,1596869439.292289,168.102980,-0.000259
31,1596869440.124452,1596869440.286671,162.219524,-0.000266
32,1596869441.124738,1596869441.251861,127.123117,-0.000286
33,1596869442.124978,1596869442.260749,135.770798,-0.000241
34,1596869443.125239,1596869443.267026,141.787052,-0.000261
35,1596869444.125617,1596869444.232696,107.079506,-0.000378
36,1596869445.125839,1596869445.252731,126.891375,-0.000223
37,1596869446.126095,1596869446.262497,136.401892,-0.000256
38,1596869447.126446,1596869447.278601,152.155876,-0.000350
39,1596869448.126704,1596869448.285810,159.106493,-0.000258
40,1596869449.126956,1596869449.248972,122.016430,-0.000252
41,1596869450.127234,1596869450.262973,135.738850,-0.000279
42,1596869451.127487,1596869451.268117,140.630484,-0.000252
43,1596869452.127764,1596869452.278254,150.490284,-0.000277
44,1596869453.128035,1596869453.288512,160.476208,-0.000271
45,1596869454.128310,1596869454.248815,120.504141,-0.000275
46,1596869455.128564,1596869455.296514,167.950153,-0.000253
47,1596869456.128868,1596869456.272945,144.077778,-0.000304
48,1596869457.129137,1596869457.282267,153.130531,-0.000269
49,1596869458.129457,1596869458.244312,114.854813,-0.000320
50,1596869459.129723,1596869459.265270,135.547876,-0.000265
51,1596869460.129975,1596869460.279316,149.341345,-0.000252
52,1596869461.130251,1596869461.288808,158.556461,-0.000277
53,1596869462.130609,1596869462.260415,129.805803,-0.000358
54,1596869463.130871,1596869463.273278,142.406702,-0.000262
55,1596869464.131124,1596869464.284966,153.842688,-0.000253
56,1596869465.131395,1596869465.247813,116.418600,-0.000271
57,1596869466.131660,1596869466.302532,170.871735,-0.000266
58,1596869467.131898,1596869467.273104,141.205788,-0.000238
59,1596869468.132180,1596869468.280400,148.219585,-0.000282
60,1596869469.132439,1596869469.288907,156.467915,-0.000259
61,1596869470.132680,1596869470.249382,116.702795,-0.000240
62,1596869471.132961,1596869471.266320,133.359194,-0.000282
63,1596869472.133201,1596869472.274558,141.356468,-0.000240
64,1596869473.133453,1596869473.284598,151.145697,-0.000251
65,1596869474.133747,1596869474.244963,111.216545,-0.000294
66,1596869475.134023,1596869475.263456,129.432201,-0.000277
67,1596869476.134263,1596869476.284672,150.409222,-0.000239
68,1596869477.134539,1596869477.245330,110.790730,-0.000277
69,1596869478.134782,1596869478.254569,119.786978,-0.000242
70,1596869479.135046,1596869479.263657,128.611088,-0.000264
71,1596869480.135311,1596869480.280811,145.499945,-0.000265
72,1596869481.135573,1596869481.290584,155.011654,-0.000262
73,1596869482.135804,1596869482.245957,110.152721,-0.000231
74,1596869483.136081,1596869483.265979,129.898548,-0.000277
75,1596869484.136343,1596869484.274370,138.026714,-0.000263
76,1596869485.136615,1596869485.291002,154.386997,-0.000272
77,1596869486.136894,1596869486.250600,113.705397,-0.000279
78,1596869487.137188,1596869487.266544,129.356146,-0.000293
79,1596869488.137446,1596869488.302426,164.979935,-0.000258
80,1596869489.137716,1596869489.281805,144.088507,-0.000270
81,1596869490.138001,1596869490.291613,153.611660,-0.000285
82,1596869491.138270,1596869491.266299,128.028631,-0.000269
83,1596869492.138573,1596869492.272239,133.666039,-0.000302
84,1596869493.138849,1596869493.287387,148.538351,-0.000276
85,1596869494.139114,1596869494.252518,113.403559,-0.000266
86,1596869495.139426,1596869495.262733,123.306274,-0.000312
87,1596869496.139733,1596869496.304724,164.990187,-0.000307
88,1596869497.139985,1596869497.282816,142.831087,-0.000252
89,1596869498.140274,1596869498.293031,152.756929,-0.000289
90,1596869499.140548,1596869499.251788,111.239433,-0.000274
91,1596869500.140796,1596869500.268352,127.555132,-0.000248
92,1596869501.141065,1596869501.277460,136.394739,-0.000269
93,1596869502.141352,1596869502.283566,142.213583,-0.000287
