Sequencer Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
348,1596869757.209536,1596869757.209665,0.129461,-0.000321
349,1596869758.209795,1596869758.209906,0.111341,-0.000259
350,1596869759.210054,1596869759.210184,0.129461,-0.000260
351,1596869760.210324,1596869760.210454,0.129461,-0.000270
352,1596869761.210597,1596869761.210714,0.117540,-0.000272
353,1596869762.210864,1596869762.211012,0.148296,-0.000267
354,1596869763.211155,1596869763.211280,0.125170,-0.000291
355,1596869764.211419,1596869764.211531,0.112295,-0.000264
356,1596869765.211677,1596869765.211807,0.130653,-0.000258
357,1596869766.211948,1596869766.212078,0.129700,-0.000272
358,1596869767.212221,1596869767.212348,0.126362,-0.000273
359,1596869768.212490,1596869768.212615,0.125408,-0.000269
360,1596869769.212765,1596869769.212894,0.128984,-0.000275
361,1596869770.213031,1596869770.213141,0.110626,-0.000266
362,1596869771.213286,1596869771.213419,0.133038,-0.000255
363,1596869772.213560,1596869772.213689,0.128746,-0.000274
364,1596869773.213825,1596869773.213942,0.116348,-0.000265
365,1596869774.214099,1596869774.214227,0.127554,-0.000274
366,1596869775.214366,1596869775.214479,0.113010,-0.000267
367,1596869776.214619,1596869776.214734,0.114441,-0.000253
368,1596869777.214886,1596869777.215013,0.126600,-0.000267
369,1596869778.215157,1596869778.215270,0.112295,-0.000271
370,1596869779.215411,1596869779.215536,0.124693,-0.000254
371,1596869780.215688,1596869780.215817,0.128508,-0.000277
372,1596869781.215956,1596869781.216071,0.114441,-0.000268
373,1596869782.216209,1596869782.216320,0.110865,-0.000253
374,1596869783.216468,1596869783.216594,0.126362,-0.000259
375,1596869784.216703,1596869784.216787,0.083923,-0.000235
376,1596869785.216909,1596869785.217032,0.123501,-0.000206
377,1596869786.217177,1596869786.217303,0.125885,-0.000268
378,1596869787.217445,1596869787.217567,0.122547,-0.000268
379,1596869788.217702,1596869788.217818,0.115395,-0.000257
380,1596869789.217958,1596869789.218080,0.122070,-0.000256
381,1596869790.218222,1596869790.218351,0.129461,-0.000264
382,1596869791.218484,1596869791.218612,0.127554,-0.000263
383,1596869792.218809,1596869792.218949,0.140429,-0.000324
384,1596869793.219093,1596869793.219222,0.128508,-0.000284
385,1596869794.219408,1596869794.219525,0.116825,-0.000315
386,1596869795.219689,1596869795.219848,0.159264,-0.000281
387,1596869796.219995,1596869796.220120,0.125408,-0.000306
388,1596869797.220258,1596869797.220369,0.111103,-0.000263
389,1596869798.220520,1596869798.220667,0.147104,-0.000262
390,1596869799.220806,1596869799.220932,0.125647,-0.000287
391,1596869800.221101,1596869800.221227,0.126362,-0.000294
392,1596869801.221372,1596869801.221491,0.119686,-0.000271
393,1596869802.221631,1596869802.221762,0.130892,-0.000260
394,1596869803.221906,1596869803.222029,0.123739,-0.000274
395,1596869804.222163,1596869804.222277,0.113487,-0.000257
396,1596869805.222421,1596869805.222548,0.127554,-0.000257
397,1596869806.222684,1596869806.222811,0.127077,-0.000263
398,1596869807.222941,1596869807.223045,0.103712,-0.000257
399,1596869808.223183,1596869808.223311,0.127554,-0.000242
400,1596869809.223442,1596869809.223572,0.130653,-0.000259
401,1596869810.223724,1596869810.223845,0.120878,-0.000282
402,1596869811.223981,1596869811.224105,0.123501,-0.000257
403,1596869812.224250,1596869812.224357,0.107050,-0.000269
404,1596869813.224488,1596869813.224602,0.114441,-0.000238
405,1596869814.224743,1596869814.224874,0.130892,-0.000255
406,1596869815.225032,1596869815.225161,0.129223,-0.000289
407,1596869816.225301,1596869816.225413,0.112057,-0.000269
408,1596869817.225559,1596869817.225683,0.124216,-0.000258
409,1596869818.225825,1596869818.225957,0.132084,-0.000267
410,1596869819.226100,1596869819.226216,0.115633,-0.000275
411,1596869820.226363,1596869820.226499,0.136137,-0.000263
412,1596869821.226643,1596869821.226769,0.126123,-0.000279
413,1596869822.226917,1596869822.227042,0.125170,-0.000274
414,1596869823.227191,1596869823.227330,0.138521,-0.000274
415,1596869824.227463,1596869824.227575,0.111103,-0.000272
416,1596869825.227711,1596869825.227828,0.117540,-0.000247
417,1596869826.227967,1596869826.228091,0.123739,-0.000256
418,1596869827.228222,1596869827.228329,0.107765,-0.000255
419,1596869828.228472,1596869828.228611,0.139475,-0.000250
420,1596869829.228758,1596869829.228892,0.133514,-0.000286
421,1596869830.229028,1596869830.229141,0.112534,-0.000270
422,1596869831.229282,1596869831.229458,0.175238,-0.000254
423,1596869832.229617,1596869832.229742,0.125408,-0.000334
424,1596869833.229892,1596869833.230019,0.126839,-0.000276
425,1596869834.230161,1596869834.230274,0.113010,-0.000268
426,1596869835.230420,1596869835.230550,0.129700,-0.000260
427,1596869836.230694,1596869836.230819,0.125647,-0.000273
428,1596869837.230954,1596869837.231061,0.107050,-0.000260
429,1596869838.231194,1596869838.231325,0.131130,-0.000240
430,1596869839.231467,1596869839.231574,0.107288,-0.000273
431,1596869840.231710,1596869840.231837,0.126123,-0.000243
432,1596869841.231987,1596869841.232113,0.126600,-0.000276
433,1596869842.232252,1596869842.232368,0.116110,-0.000265
434,1596869843.232507,1596869843.232634,0.126839,-0.000256
435,1596869844.232784,1596869844.232916,0.131845,-0.000276
436,1596869845.233055,1596869845.233180,0.124931,-0.000272
437,1596869846.233324,1596869846.233449,0.124693,-0.000269
438,1596869847.233599,1596869847.233717,0.118494,-0.000275
439,1596869848.233856,1596869848.233972,0.115633,-0.000257
440,1596869849.234117,1596869849.234248,0.131130,-0.000261
441,1596869850.234396,1596869850.234527,0.130892,-0.000279
442,1596869851.234671,1596869851.234794,0.123024,-0.000275
443,1596869852.234927,1596869852.235032,0.104666,-0.000257
444,1596869853.235171,1596869853.235296,0.125170,-0.000243
445,1596869854.235438,1596869854.235552,0.113964,-0.000267
446,1596869855.235703,1596869855.235835,0.132322,-0.000265
447,1596869856.235986,1596869856.236109,0.122786,-0.000284
448,1596869857.236261,1596869857.236368,0.106812,-0.000275
449,1596869858.236499,1596869858.236619,0.119925,-0.000238
450,1596869859.236760,1596869859.236890,0.129461,-0.000261
451,1596869860.237033,1596869860.237166,0.133038,-0.000273
452,1596869861.237303,1596869861.237409,0.106812,-0.000269
453,1596869862.237570,1596869862.237692,0.122309,-0.000267
454,1596869863.237827,1596869863.237943,0.116348,-0.000257
455,1596869864.238084,1596869864.238208,0.124216,-0.000257
456,1596869865.238361,1596869865.238500,0.138760,-0.000277
457,1596869866.238644,1596869866.238772,0.127792,-0.000283
458,1596869867.238913,1596869867.239019,0.105858,-0.000269
459,1596869868.239157,1596869868.239294,0.136852,-0.000244
460,1596869869.239472,1596869869.239580,0.108004,-0.000315
461,1596869870.239716,1596869870.239846,0.129938,-0.000244
462,1596869871.239998,1596869871.240128,0.130177,-0.000282
463,1596869872.240281,1596869872.240389,0.107765,-0.000283
464,1596869873.240517,1596869873.240635,0.118494,-0.000236
465,1596869874.240782,1596869874.240911,0.129461,-0.000265
466,1596869875.241059,1596869875.241201,0.142097,-0.000277
467,1596869876.241346,1596869876.241462,0.116587,-0.000287
468,1596869877.241616,1596869877.241740,0.124693,-0.000270
469,1596869878.241872,1596869878.241982,0.110626,-0.000256
470,1596869879.242131,1596869879.242239,0.107527,-0.000260
471,1596869880.242382,1596869880.242519,0.137329,-0.000250
472,1596869881.242661,1596869881.242790,0.128984,-0.000280
473,1596869882.242927,1596869882.243031,0.104189,-0.000265
474,1596869883.243178,1596869883.243305,0.127077,-0.000252
475,1596869884.243451,1596869884.243576,0.125170,-0.000273
476,1596869885.243721,1596869885.243843,0.122070,-0.000270
477,1596869886.243985,1596869886.244113,0.128269,-0.000264
478,1596869887.244250,1596869887.244371,0.121117,-0.000265
479,1596869888.244510,1596869888.244623,0.113249,-0.000260
